collection,token_name,token_address,token_id,sale_timestamp,sale_amount,sale_token,sale_hash,payout_timestamp,payout_amount,payout_token,payout_hash,sale_div_payment,fee
known-origin,Duckstep,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,2547008,2021-10-27 02:37:10,0.024,ETH,0x8e717600f9327c0ca254aa1b3e6620a7b8997bf51513775d68277703b4d7b23d,2021-10-28 04:38:57.299069,0.003,ETH,0xb2aeb6aaf36ec5f83dd9466f72efabd45f7c5aac54f380f0fcc31e6bf0b05102,0.125,1250
known-origin,Walking I,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1299009,2021-10-27 04:25:32,0.025,ETH,0x844d44737bb2915cc54cd96a065e222b6c38b5425e86a8d7d4e846a5b5bb3317,2021-10-28 04:38:57.299069,0.003125,ETH,0xb2aeb6aaf36ec5f83dd9466f72efabd45f7c5aac54f380f0fcc31e6bf0b05102,0.125,1250
known-origin,BANGERS AND CRASH,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,3636006,2021-10-27 04:33:06,40.0,ETH,0x17a15b85eb9b26662a251e1ac80ef0d07ee386b41df620db015df262dafb721e,2021-10-28 04:38:57.299069,5.0,ETH,0xb2aeb6aaf36ec5f83dd9466f72efabd45f7c5aac54f380f0fcc31e6bf0b05102,0.125,1250
known-origin,Mika for Teleportation,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,2474008,2021-10-27 05:11:07,0.024,ETH,0xaae368f4e0e030996f254304032d26608f468c06830289c81524d3ec8cd8fec1,2021-10-28 04:38:57.299069,0.003,ETH,0xb2aeb6aaf36ec5f83dd9466f72efabd45f7c5aac54f380f0fcc31e6bf0b05102,0.125,1250
known-origin,Walking II,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1300009,2021-10-27 06:18:44,0.029,ETH,0x1cd44a9a4b03c00ea4638de286f348a10509e284f874dc403e2c852500c46b35,2021-10-28 04:38:57.299069,0.003625,ETH,0xb2aeb6aaf36ec5f83dd9466f72efabd45f7c5aac54f380f0fcc31e6bf0b05102,0.125,1250
known-origin,The surprised cat.,0xfbeef911dc5821886e1dda71586d90ed28174b7d,515301,2021-10-27 09:14:50,0.04,ETH,0xe065ae6d9f5baa4b0048aa78b743f53ba237cd802afb7c9ef6a831adb7ee7f0a,2021-10-28 04:38:57.299069,0.005,ETH,0xb2aeb6aaf36ec5f83dd9466f72efabd45f7c5aac54f380f0fcc31e6bf0b05102,0.125,1250
known-origin,When The Horse Is No More A Horse,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,2241005,2021-10-27 10:07:16,0.019,ETH,0x9df9bf8ac00ff3f020efd6b60f181f99c2219ca3d571efff3af369a149c6ff16,2021-10-28 04:38:57.299069,0.002375,ETH,0xb2aeb6aaf36ec5f83dd9466f72efabd45f7c5aac54f380f0fcc31e6bf0b05102,0.125,1250
known-origin,Seedy Disappearance of the Yaztromos,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,2264003,2021-10-27 11:27:09,0.029,ETH,0x163070336d47e4bdbefedbbf07e62be55eddec97164045e28c7dbaad8c76e44f,2021-10-28 04:38:57.299069,0.003625,ETH,0xb2aeb6aaf36ec5f83dd9466f72efabd45f7c5aac54f380f0fcc31e6bf0b05102,0.125,1250
known-origin,Duckstep,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,2547005,2021-10-27 12:35:23,0.0275,ETH,0x957ccfb88d65d3b7c030180c5772c7b7a7d3db4e014254e122c59bc33d9d6331,2021-10-28 04:38:57.299069,0.0034375,ETH,0xb2aeb6aaf36ec5f83dd9466f72efabd45f7c5aac54f380f0fcc31e6bf0b05102,0.125,1250
known-origin,The Matrix,0xfbeef911dc5821886e1dda71586d90ed28174b7d,173629,2021-10-27 13:02:14,0.056,ETH,0x721d05e1102f3b44481fcd29a94e36fc80d694c3732f8b53769b69b07f877730,2021-10-28 04:38:57.299069,0.007,ETH,0xb2aeb6aaf36ec5f83dd9466f72efabd45f7c5aac54f380f0fcc31e6bf0b05102,0.125,1250
known-origin,The Freudian Slip of a Personality,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,960000,2021-10-27 14:34:56,0.023,ETH,0x420cccea9df52ca4e3382ab82e1c7691f8e7d850a935135eb5e3d9a725d3de8e,2021-10-28 04:38:57.299069,0.002875,ETH,0xb2aeb6aaf36ec5f83dd9466f72efabd45f7c5aac54f380f0fcc31e6bf0b05102,0.125,1250
known-origin,Gummy Venom: The Tale of the Psychedelic Symbiote,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1422002,2021-10-27 14:42:54,0.05,ETH,0x3b40770c4d25dbf8f421b67d97b3b00cfb78d28d16b0c82f3e9a042c7cccc600,2021-10-28 04:38:57.299069,0.00125,ETH,0xb2aeb6aaf36ec5f83dd9466f72efabd45f7c5aac54f380f0fcc31e6bf0b05102,0.025,250
known-origin,Colorful Thoughts of Mine,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,944002,2021-10-27 17:54:08,0.029,ETH,0xf9cd07564e012d79767b2bca48b0c9131073cb5c2c2a389125c21d919c050632,2021-10-28 04:38:57.299069,0.003625,ETH,0xb2aeb6aaf36ec5f83dd9466f72efabd45f7c5aac54f380f0fcc31e6bf0b05102,0.125,1250
known-origin,Idea Birdie,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1048002,2021-10-27 20:31:03,0.025,ETH,0x647f512358c0ad3e18108d3ca00b703ea3d33d741970ce5541aad0f99cb3bfee,2021-10-28 04:38:57.299069,0.003125,ETH,0xb2aeb6aaf36ec5f83dd9466f72efabd45f7c5aac54f380f0fcc31e6bf0b05102,0.125,1250
