sale_date,side,order_created_date,token_id,address,fee,total_fee
2021-09-28 09:58:22.451457 +00:00,sell,2021-09-28 09:54:58.507326 +00:00,2359007,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1250,4687500000000000
2021-09-28 10:40:57.233387 +00:00,sell,2021-09-28 07:30:59.963019 +00:00,2228003,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1250,2187500000000000
2021-09-28 10:52:02.904804 +00:00,sell,2021-09-26 23:58:52.788522 +00:00,519005,0xfbeef911dc5821886e1dda71586d90ed28174b7d,1250,2500000000000000
2021-09-28 10:51:56.056345 +00:00,sell,2021-09-27 08:36:34.248026 +00:00,154004,0xfbeef911dc5821886e1dda71586d90ed28174b7d,1250,2500000000000000
2021-09-28 11:00:48.178491 +00:00,sell,2021-09-28 07:31:14.642490 +00:00,2228002,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1250,2500000000000000
2021-09-28 11:03:35.792923 +00:00,buy,2021-09-28 10:45:38.781021 +00:00,22073,0xfbeef911dc5821886e1dda71586d90ed28174b7d,1250,1000000000000000000
2021-09-28 11:52:00.176543 +00:00,sell,2021-09-28 11:44:40.556929 +00:00,2361007,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1250,3437500000000000
2021-09-28 12:27:41.406618 +00:00,sell,2021-09-28 12:07:27.286930 +00:00,2228000,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1250,2187500000000000
2021-09-28 12:33:26.454170 +00:00,sell,2021-09-28 12:07:54.410841 +00:00,2228001,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1250,2500000000000000
2021-09-28 12:36:32.631151 +00:00,sell,2021-09-26 11:09:18.031082 +00:00,2290009,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1250,2812500000000000
2021-09-28 13:01:00.796492 +00:00,sell,2021-09-28 12:44:15.323526 +00:00,108720,0xfbeef911dc5821886e1dda71586d90ed28174b7d,1250,3125000000000000000
2021-09-28 13:08:46.393344 +00:00,sell,2021-09-27 08:38:33.190514 +00:00,164104,0xfbeef911dc5821886e1dda71586d90ed28174b7d,1250,2500000000000000
2021-09-28 14:52:32.566605 +00:00,sell,2021-09-11 10:20:03.545168 +00:00,226507,0xfbeef911dc5821886e1dda71586d90ed28174b7d,250,1250000000000000
2021-09-28 15:08:38.677845 +00:00,sell,2021-09-26 11:08:09.666274 +00:00,2291009,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1250,2812500000000000
2021-09-28 17:30:44.391869 +00:00,sell,2021-09-14 21:20:47.936371 +00:00,54827,0xfbeef911dc5821886e1dda71586d90ed28174b7d,250,1000000000000000
2021-09-28 17:32:32.082867 +00:00,sell,2021-09-25 21:32:02.322821 +00:00,2264008,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1250,3125000000000000
2021-09-28 17:36:00.292433 +00:00,sell,2021-09-22 20:21:26.799662 +00:00,29249,0xfbeef911dc5821886e1dda71586d90ed28174b7d,250,1025000000000000
2021-09-28 18:00:28.942217 +00:00,sell,2021-07-11 13:36:13.619682 +00:00,440601,0xfbeef911dc5821886e1dda71586d90ed28174b7d,250,2250000000000000
2021-09-28 18:22:33.502969 +00:00,sell,2021-09-25 16:16:50.533705 +00:00,1217009,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1250,2812500000000000
2021-09-28 18:41:08.781591 +00:00,sell,2021-09-26 19:15:34.670517 +00:00,908002,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1250,4987500000000000
2021-09-28 18:54:14.231637 +00:00,sell,2021-09-28 11:32:22.398453 +00:00,2363008,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1250,5625000000000000
2021-09-28 20:14:43.797794 +00:00,buy,2021-09-28 15:54:57.221431 +00:00,107221,0xfbeef911dc5821886e1dda71586d90ed28174b7d,1250,2000000000000000000
2021-09-28 20:48:24.852891 +00:00,sell,2021-01-24 06:04:57.977649 +00:00,111148,0xfbeef911dc5821886e1dda71586d90ed28174b7d,250,7750000000000000
2021-09-28 21:10:03.580275 +00:00,sell,2021-09-25 23:29:16.786905 +00:00,960009,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1250,4062500000000000
2021-09-28 21:36:32.306778 +00:00,sell,2021-09-20 15:36:13.429233 +00:00,1467001,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,250,1250000000000000
2021-09-28 22:44:24.166260 +00:00,sell,2021-09-28 22:42:29.394419 +00:00,2387009,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1250,4062500000000000
2021-09-28 23:09:40.694653 +00:00,sell,2021-09-28 12:49:56.269671 +00:00,2290006,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1250,2812500000000000
2021-09-28 23:10:35.570417 +00:00,sell,2021-09-25 16:16:05.967170 +00:00,1220009,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1250,4062500000000000
2021-09-28 23:57:04.272605 +00:00,sell,2021-09-28 11:35:45.037360 +00:00,2364009,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1250,4062500000000000
2021-09-29 00:00:20.440474 +00:00,sell,2021-09-28 23:09:40.900519 +00:00,2387006,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1250,4062500000000000
2021-09-29 01:41:52.464398 +00:00,sell,2021-09-24 18:31:07.301038 +00:00,905003,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1250,10625000000000000
2021-09-29 02:10:13.066061 +00:00,sell,2021-09-28 21:52:21.322740 +00:00,960008,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1250,4062500000000000
2021-09-29 02:16:59.364831 +00:00,sell,2021-09-29 00:49:55.287255 +00:00,2364006,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1250,4062500000000000
2021-09-29 14:14:46.112467 +00:00,sell,2021-09-29 07:34:56.007015 +00:00,1048000,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1250,2737500000000000
2021-09-29 14:48:24.159980 +00:00,sell,2021-09-11 23:09:11.526847 +00:00,657512,0xfbeef911dc5821886e1dda71586d90ed28174b7d,250,1250000000000000
2021-09-29 14:50:53.648630 +00:00,sell,2021-09-29 14:23:06.699015 +00:00,1048009,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1250,2812500000000000
2021-09-29 16:46:50.667207 +00:00,sell,2021-08-31 13:02:04.222196 +00:00,657508,0xfbeef911dc5821886e1dda71586d90ed28174b7d,250,1500000000000000
2021-09-29 22:45:48.726166 +00:00,sell,2021-09-19 22:44:01.481541 +00:00,1047016,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,250,2500000000000000
2021-09-29 23:05:05.669381 +00:00,sell,2021-08-31 17:08:10.079065 +00:00,657518,0xfbeef911dc5821886e1dda71586d90ed28174b7d,250,1500000000000000
2021-09-29 23:33:11.614363 +00:00,sell,2021-09-29 23:16:00.377730 +00:00,1024000,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1250,1250000000000000
